Condición (Restricción),Confianza (Fracción),Confianza,Cobertura,Soporte (Fracción),Soporte,Lift,Clase,Regla Completa,Pasa Filtro Final
Metodologia = Cascada Y Presupuesto = Bajo,115/115,1.0,115,115/1000,0.115,1.992,No,SI Metodologia = Cascada Y Presupuesto = Bajo  ENTONCES  Exito_Proyecto = No,False
Experiencia_Lider = Baja Y Tamano_Equipo = Grande,114/114,1.0,114,114/1000,0.114,1.992,No,SI Experiencia_Lider = Baja Y Tamano_Equipo = Grande  ENTONCES  Exito_Proyecto = No,False
Presupuesto = Alto Y Tamano_Equipo = Pequeño,101/101,1.0,101,101/1000,0.101,2.008,Si,SI Presupuesto = Alto Y Tamano_Equipo = Pequeño  ENTONCES  Exito_Proyecto = Si,False
Metodologia = Agil Y Experiencia_Lider = Alta,117/117,1.0,117,117/1000,0.117,2.008,Si,SI Metodologia = Agil Y Experiencia_Lider = Alta  ENTONCES  Exito_Proyecto = Si,False
Presupuesto = Medio Y Experiencia_Lider = Media Y Metodologia = Agil Y Tamano_Equipo = Pequeño,11/13,0.8462,13,13/1000,0.013,1.6856,No,SI Presupuesto = Medio Y Experiencia_Lider = Media Y Metodologia = Agil Y Tamano_Equipo = Pequeño  ENTONCES  Exito_Proyecto = No,False
Tamano_Equipo = Mediano Y Metodologia = Cascada Y Experiencia_Lider = Alta Y Presupuesto = Medio,7/9,0.7778,9,9/1000,0.009,1.5494,No,SI Tamano_Equipo = Mediano Y Metodologia = Cascada Y Experiencia_Lider = Alta Y Presupuesto = Medio  ENTONCES  Exito_Proyecto = No,False
Presupuesto = Alto Y Experiencia_Lider = Media Y Metodologia = Agil Y Tamano_Equipo = Grande,9/12,0.75,12,12/1000,0.012,1.506,Si,SI Presupuesto = Alto Y Experiencia_Lider = Media Y Metodologia = Agil Y Tamano_Equipo = Grande  ENTONCES  Exito_Proyecto = Si,False
Tamano_Equipo = Mediano Y Metodologia = Agil Y Presupuesto = Bajo Y Experiencia_Lider = Media,8/11,0.7273,11,11/1000,0.011,1.4604,Si,SI Tamano_Equipo = Mediano Y Metodologia = Agil Y Presupuesto = Bajo Y Experiencia_Lider = Media  ENTONCES  Exito_Proyecto = Si,False
Presupuesto = Medio Y Experiencia_Lider = Baja Y Tamano_Equipo = Pequeño Y Metodologia = Cascada,12/17,0.7059,17,17/1000,0.017,1.4061,No,SI Presupuesto = Medio Y Experiencia_Lider = Baja Y Tamano_Equipo = Pequeño Y Metodologia = Cascada  ENTONCES  Exito_Proyecto = No,False
Experiencia_Lider = Media Y Metodologia = Hibrida Y Tamano_Equipo = Grande Y Presupuesto = Bajo,9/13,0.6923,13,13/1000,0.013,1.3902,Si,SI Experiencia_Lider = Media Y Metodologia = Hibrida Y Tamano_Equipo = Grande Y Presupuesto = Bajo  ENTONCES  Exito_Proyecto = Si,False
Metodologia = Hibrida Y Presupuesto = Bajo Y Tamano_Equipo = Mediano Y Experiencia_Lider = Alta,11/16,0.6875,16,16/1000,0.016,1.3695,No,SI Metodologia = Hibrida Y Presupuesto = Bajo Y Tamano_Equipo = Mediano Y Experiencia_Lider = Alta  ENTONCES  Exito_Proyecto = No,False
Metodologia = Hibrida Y Experiencia_Lider = Alta Y Presupuesto = Medio Y Tamano_Equipo = Mediano,11/16,0.6875,16,16/1000,0.016,1.3805,Si,SI Metodologia = Hibrida Y Experiencia_Lider = Alta Y Presupuesto = Medio Y Tamano_Equipo = Mediano  ENTONCES  Exito_Proyecto = Si,False
Presupuesto = Medio Y Experiencia_Lider = Media Y Metodologia = Hibrida Y Tamano_Equipo = Grande,6/9,0.6667,9,9/1000,0.009,1.328,No,SI Presupuesto = Medio Y Experiencia_Lider = Media Y Metodologia = Hibrida Y Tamano_Equipo = Grande  ENTONCES  Exito_Proyecto = No,False
Metodologia = Cascada Y Tamano_Equipo = Mediano Y Experiencia_Lider = Media Y Presupuesto = Alto,6/9,0.6667,9,9/1000,0.009,1.328,No,SI Metodologia = Cascada Y Tamano_Equipo = Mediano Y Experiencia_Lider = Media Y Presupuesto = Alto  ENTONCES  Exito_Proyecto = No,False
Metodologia = Hibrida Y Tamano_Equipo = Mediano Y Presupuesto = Alto Y Experiencia_Lider = Alta,6/9,0.6667,9,9/1000,0.009,1.328,No,SI Metodologia = Hibrida Y Tamano_Equipo = Mediano Y Presupuesto = Alto Y Experiencia_Lider = Alta  ENTONCES  Exito_Proyecto = No,False
Experiencia_Lider = Baja Y Presupuesto = Bajo Y Tamano_Equipo = Mediano Y Metodologia = Hibrida,7/11,0.6364,11,11/1000,0.011,1.2677,No,SI Experiencia_Lider = Baja Y Presupuesto = Bajo Y Tamano_Equipo = Mediano Y Metodologia = Hibrida  ENTONCES  Exito_Proyecto = No,False
Tamano_Equipo = Grande Y Experiencia_Lider = Media Y Metodologia = Agil Y Presupuesto = Bajo,7/11,0.6364,11,11/1000,0.011,1.2677,No,SI Tamano_Equipo = Grande Y Experiencia_Lider = Media Y Metodologia = Agil Y Presupuesto = Bajo  ENTONCES  Exito_Proyecto = No,False
Presupuesto = Alto Y Tamano_Equipo = Mediano Y Experiencia_Lider = Baja Y Metodologia = Agil,7/11,0.6364,11,11/1000,0.011,1.2778,Si,SI Presupuesto = Alto Y Tamano_Equipo = Mediano Y Experiencia_Lider = Baja Y Metodologia = Agil  ENTONCES  Exito_Proyecto = Si,False
Metodologia = Hibrida Y Tamano_Equipo = Pequeño Y Experiencia_Lider = Baja Y Presupuesto = Medio,5/8,0.625,8,8/1000,0.008,1.255,Si,SI Metodologia = Hibrida Y Tamano_Equipo = Pequeño Y Experiencia_Lider = Baja Y Presupuesto = Medio  ENTONCES  Exito_Proyecto = Si,False
Presupuesto = Alto Y Experiencia_Lider = Alta Y Metodologia = Cascada Y Tamano_Equipo = Mediano,5/8,0.625,8,8/1000,0.008,1.255,Si,SI Presupuesto = Alto Y Experiencia_Lider = Alta Y Metodologia = Cascada Y Tamano_Equipo = Mediano  ENTONCES  Exito_Proyecto = Si,False
Tamano_Equipo = Mediano Y Metodologia = Hibrida Y Experiencia_Lider = Baja Y Presupuesto = Alto,13/21,0.619,21,21/1000,0.021,1.2431,Si,SI Tamano_Equipo = Mediano Y Metodologia = Hibrida Y Experiencia_Lider = Baja Y Presupuesto = Alto  ENTONCES  Exito_Proyecto = Si,False
Metodologia = Hibrida Y Tamano_Equipo = Pequeño Y Presupuesto = Bajo Y Experiencia_Lider = Media,8/13,0.6154,13,13/1000,0.013,1.2357,Si,SI Metodologia = Hibrida Y Tamano_Equipo = Pequeño Y Presupuesto = Bajo Y Experiencia_Lider = Media  ENTONCES  Exito_Proyecto = Si,False
